"","FighterID","Fighter","Result","Opponent","Event","Method","Round","Time","Date"
"1462",175,"Maurice Smith","loss","Kevin Randleman","UFC 19 - Ultimate Young GunsMar / 05 / 1999","Decision (Unanimous)John McCarthy","1","15:00",1999-03-05
"1556",175,"Maurice Smith","loss","Randy Couture","UFC 15.5 - Ultimate Japan 1Dec / 21 / 1997","DecisionJohn McCarthy","1","21:00",1997-12-21
"1656",175,"Maurice Smith","win","David Abbott","UFC 15 - Collision CourseOct / 17 / 1997","TKO (Leg Kicks)John McCarthy","1","8:08",1997-10-17
"1753",175,"Maurice Smith","win","Mark Coleman","UFC 14 - ShowdownJul / 27 / 1997","Decision (Unanimous)John McCarthy","1","21:00",1997-07-27
"1852",175,"Maurice Smith","win","Kazunari Murakami","EF 4 - Extreme Fighting 4Mar / 28 / 1997","KO (Punch)John Donehue","1","4:23",1997-03-28
"1952",175,"Maurice Smith","loss","Akira Maeda","Rings - Budokan Hall 1997Jan / 22 / 1997","N/AN/A","0","0:00",1997-01-22
"2045",175,"Maurice Smith","win","Marcus Silveira","EF 3 - Extreme Fighting 3Oct / 18 / 1996","TKO (Head Kick)N/A","3","1:36",1996-10-18
"21115",175,"Maurice Smith","loss","Kiyoshi Tamura","Rings - Maelstrom 6Aug / 24 / 1996","Submission (Armbar)N/A","1","10:58",1996-08-24
"22102",175,"Maurice Smith","loss","Tsuyoshi Kosaka","Rings - Budokan Hall 1996Jan / 24 / 1996","N/AN/A","0","0:00",1996-01-24
"2343",175,"Maurice Smith","loss","Bas Rutten","Pancrase - Eyes Of Beast 6Nov / 04 / 1995","Submission (Rear-Naked Choke)Soichi Hiroto","1","4:34",1995-11-04
"2443",175,"Maurice Smith","loss","Bas Rutten","Pancrase - Eyes Of Beast 4May / 13 / 1995","Submission (Kneebar)Soichi Hiroto","1","2:10",1995-05-13
"2538",175,"Maurice Smith","loss","Ken Shamrock","Pancrase - King of Pancrase Tournament Opening RoundDec / 16 / 1994","Submission (Arm-Triangle Choke)Masaaki Hirahara","1","4:23",1994-12-16
"2634",175,"Maurice Smith","win","Takaku Fuke","Pancrase - King of Pancrase Tournament Opening RoundDec / 16 / 1994","KO (Knee)Soichi Hiroto","1","2:48",1994-12-16
"2733",175,"Maurice Smith","loss","Minoru Suzuki","Pancrase - Road To The Championship 1May / 31 / 1994","Submission (Armbar)N/A","3","0:36",1994-05-31
"2344",176,"Harry Moskowitz","win","Johnnie Brown","XFC 1 - Xtreme Fight Club 1Nov / 14 / 2003","DecisionN/A","0","0:00",2003-11-14
"3234",176,"Harry Moskowitz","loss","Nathan Sanchez","RCF 21 - Reality Combat Fighting 21Sep / 13 / 2003","TKO (Submission to Strikes)N/A","1","1:10",2003-09-13
"4174",176,"Harry Moskowitz","loss","Johnathan Ivey","BONO 6 - Battle of New Orleans 6Apr / 26 / 2003","Submission (Kneebar)N/A","1","0:45",2003-04-26
"5136",176,"Harry Moskowitz","win","Travis Zupanc","EC - Extreme CombatFeb / 07 / 2003","TKON/A","0","0:00",2003-02-07
"6118",176,"Harry Moskowitz","loss","Dan Severn","RCF 11 - Reality Combat Fighting 11May / 10 / 2001","Submission (Keylock)N/A","1","2:12",2001-05-10
"7105",176,"Harry Moskowitz","loss","Allan Sullivan","RSF 2 - Reality Submission Fighting 2Jan / 05 / 2001","Submission (Ankle Lock)N/A","1","6:49",2001-01-05
"898",176,"Harry Moskowitz","loss","Travis Fulton","SFC - Submission Fighting Championships 11Aug / 23 / 2000","Submission (Armbar)N/A","1","6:28",2000-08-23
"988",176,"Harry Moskowitz","loss","Aaron Brink","Rings USA - Rising Stars Block AJul / 15 / 2000","TKO (Punches)Lonnie Foster","1","0:47",2000-07-15
"1084",176,"Harry Moskowitz","win","Chris Seifert","WVF - Cage BrawlApr / 21 / 2000","Decision (Unanimous)N/A","3","6:00",2000-04-21
"1179",176,"Harry Moskowitz","win","Joe Nameth","RCF 5 - Reality Combat Fighting 5Apr / 07 / 2000","TKO (Submission to Punches)N/A","1","0:45",2000-04-07
"1276",176,"Harry Moskowitz","loss","Travis Fulton","HOOKnSHOOT - HorizonMar / 20 / 1999","KO (Punches)N/A","1","2:00",1999-03-20
"1366",176,"Harry Moskowitz","loss","Andre Roberts","UFC 17 - RedemptionMay / 15 / 1998","KO (Elbow)John McCarthy","1","3:15",1998-05-15
"1463",176,"Harry Moskowitz","loss","Alex Hunter","UFC 15 - Collision CourseOct / 17 / 1997","Decision (Split)Joe Hamilton","1","10:00",1997-10-17
"1557",176,"Harry Moskowitz","loss","Frank Laughing","IFC 4 - AkwesasaneMar / 28 / 1997","TKO (Exhaustion)Jeff Collins","1","7:26",1997-03-28
"1657",176,"Harry Moskowitz","loss","Wes Gassaway","IFC 3 - International Fighting Championship 3Sep / 14 / 1996","N/AN/A","0","0:00",1996-09-14
"1754",176,"Harry Moskowitz","win","Matt Teu","IFC 3 - International Fighting Championship 3Sep / 14 / 1996","N/AN/A","0","0:00",1996-09-14
"1853",176,"Harry Moskowitz","win","Rob Morris","IFC 3 - International Fighting Championship 3Sep / 14 / 1996","N/AN/A","0","0:00",1996-09-14
"1953",176,"Harry Moskowitz","loss","Gerry Harris","IFC 2 - Mayhem in MississippiAug / 23 / 1996","Submission (Guillotine Choke)N/A","1","2:07",1996-08-23
"2345",177,"Dwayne Cason","loss","Mark Kerr","UFC 15 - Collision CourseOct / 17 / 1997","Submission (Rear-Naked Choke)John McCarthy","1","0:53",1997-10-17
"3235",177,"Dwayne Cason","win","Houston Dorr","UFC 15 - Collision CourseOct / 17 / 1997","TKO (Punches)Joe Hamilton","1","3:43",1997-10-17
"2346",178,"Houston Dorr","loss","Dwayne Cason","UFC 15 - Collision CourseOct / 17 / 1997","TKO (Punches)Joe Hamilton","1","3:43",1997-10-17
"3236",178,"Houston Dorr","loss","Anthony Macias","IFC 2 - Mayhem in MississippiAug / 23 / 1996","Submission (Armbar)N/A","1","0:17",1996-08-23
"4175",178,"Houston Dorr","win","Kevin Rosier","IFC 2 - Mayhem in MississippiAug / 23 / 1996","Submission (Guillotine Choke)N/A","1","11:10",1996-08-23
"2347",179,"Greg Stott","loss","Mark Kerr","UFC 15 - Collision CourseOct / 17 / 1997","KO (Knee)John McCarthy","1","0:17",1997-10-17
"2348",180,"Carlos Barreto","loss","Vladimir Matyushenko","JF - Jungle Fight 4May / 21 / 2005","TKO (Knee Injury)N/A","1","0:26",2005-05-21
"3237",180,"Carlos Barreto","loss","Martin Malkhasyan","M-1 MFC - Heavyweight GPDec / 04 / 2004","Decision (Unanimous)N/A","2","5:00",2004-12-04
"4176",180,"Carlos Barreto","loss","Aleksander Emelianenko","M-1 MFC - Middleweight GPOct / 09 / 2004","Decision (Unanimous)N/A","3","5:00",2004-10-09
"5137",180,"Carlos Barreto","win","Bobby Hoffman","JF - Jungle Fight 2May / 15 / 2004","TKO (Submission to Punches)N/A","2","N/A",2004-05-15
"6119",180,"Carlos Barreto","loss","Travis Wiuff","Heat FC 2 - EvolutionDec / 18 / 2003","Decision (Unanimous)N/A","3","5:00",2003-12-18
"7106",180,"Carlos Barreto","win","Ben Rothwell","Heat FC 1 - GenesisJul / 31 / 2003","KO (Head Kick)N/A","1","N/A",2003-07-31
"899",180,"Carlos Barreto","win","Marcelo      Souza","Meca 6 - Meca World Vale Tudo 6Jan / 31 / 2002","TKO (Doctor Stoppage)Wanderlei Silva","1","7:08",2002-01-31
"989",180,"Carlos Barreto","loss","Ian Freeman","HOOKnSHOOT - Kings 1Nov / 17 / 2001","Decision (Unanimous)N/A","3","5:00",2001-11-17
"1085",180,"Carlos Barreto","loss","Gilbert Yvel","2H2H 2 - Simply The BestMar / 18 / 2001","KO (Flying Knee)N/A","1","2:20",2001-03-18
"1180",180,"Carlos Barreto","loss","Chris Haseman","Rings - King of Kings 2000 Block BDec / 22 / 2000","Decision (Unanimous)N/A","2","5:00",2000-12-22
"1277",180,"Carlos Barreto","win","Tra Telligman","Pride 9 - New BloodJun / 04 / 2000","Decision (Unanimous)Akira Okabayashi","2","10:00",2000-06-04
"1367",180,"Carlos Barreto","win","Gary Myers","IVC 12 - The New Generation of MiddleweightsAug / 26 / 1999","TKO (Broken Leg)N/A","1","8:13",1999-08-26
"1464",180,"Carlos Barreto","loss","Igor Vovchanchyn","Pride FC - Pride 6Jul / 04 / 1999","Decision (Unanimous)Akira Okabayashi","3","5:00",1999-07-04
"1558",180,"Carlos Barreto","win","Pedro Otavio","IVC 10 - World Class ChampionsApr / 27 / 1999","TKO (Submission to Punches)N/A","1","6:19",1999-04-27
"1658",180,"Carlos Barreto","win","Branden Lee Hinkle","IVC 8 - The Road Back to the TopJan / 20 / 1999","Submission (Guillotine Choke)N/A","1","4:32",1999-01-20
"1755",180,"Carlos Barreto","loss","Dave Beneteau","UFC 15 - Collision CourseOct / 17 / 1997","DecisionJohn McCarthy","1","15:00",1997-10-17
"1854",180,"Carlos Barreto","win","Paul Varelans","Brazil Open - '97Jun / 15 / 1997","TKO (Elbows and Punches)N/A","1","2:33",1997-06-15
"1954",180,"Carlos Barreto","win","Kevin Randleman","UVF 6 - Universal Vale Tudo Fighting 6Mar / 03 / 1997","Technical Submission (Triangle Choke)N/A","1","22:24",1997-03-03
"2046",180,"Carlos Barreto","win","Dan Bobish","UVF 6 - Universal Vale Tudo Fighting 6Mar / 03 / 1997","Submission (Triangle Choke)N/A","1","7:47",1997-03-03
"21116",180,"Carlos Barreto","win","Geza Kalman","UVF 6 - Universal Vale Tudo Fighting 6Mar / 03 / 1997","Submission (Guillotine Choke)N/A","1","3:02",1997-03-03
"22103",180,"Carlos Barreto","win","Alexander Rafalski","MARS - Martial Arts Reality SuperfightingNov / 22 / 1996","TKO (Corner Stoppage)N/A","1","1:00",1996-11-22
"2349",180,"Carlos Barreto","win","John Dixson","UVF - Universal Vale Tudo Fighting 2Jun / 24 / 1996","TKO (Submission to Punches)N/A","1","1:38",1996-06-24
"2444",180,"Carlos Barreto","win","Mikhail Ilyukhin","UVF 1 - Universal Vale Tudo Fighting 1Apr / 05 / 1996","Submission (Rear-Naked Choke)N/A","2","3:15",1996-04-05
"2350",181,"Brad Kohler","win","Shane DeZee","Driller Promotions / SEG - Throwdown at the Crowne 1Sep / 08 / 2012","TKO (Submission to Punches)N/A","2","1:42",2012-09-08
"3238",181,"Brad Kohler","loss","Brad Scholten","Brutaal Fight Night - Violent NightJun / 02 / 2012","TKO (Doctor Stoppage)N/A","1","5:00",2012-06-02
"4177",181,"Brad Kohler","loss","Cameron Befort","RG - Rochester GladiatorsOct / 02 / 2010","TKO (Submission to Punches)N/A","1","3:27",2010-10-02
"5138",181,"Brad Kohler","loss","Travis Fulton","CFX / XKL - Mayhem in MinneapolisApr / 24 / 2010","KO (Head Kick)N/A","1","1:01",2010-04-24
"6120",181,"Brad Kohler","loss","Jong Wang Kim","Gladiator FC - Day 1Jun / 26 / 2004","Submission (Rear-Naked Choke)N/A","1","1:19",2004-06-26
"7107",181,"Brad Kohler","loss","Alberto Rodriguez","Deep - 12th ImpactSep / 15 / 2003","TKO (Shoulder Injury)Akira Okabayashi","1","1:25",2003-09-15
"8100",181,"Brad Kohler","loss","Greg Wikan","UW - St. Cloud 1Mar / 15 / 2002","TKO (Injury)N/A","1","0:34",2002-03-15
"990",181,"Brad Kohler","loss","Valentijn Overeem","Rings - Millennium Combine 2Jun / 15 / 2000","Submission (Kneebar)N/A","1","0:31",2000-06-15
"1086",181,"Brad Kohler","loss","Jason Allar","EC 31 - Extreme Challenge 31Mar / 24 / 2000","TKO (Strikes)N/A","1","3:42",2000-03-24
"1183",181,"Brad Kohler","loss","Chris Haseman","Rings - King of Kings 1999 FinalFeb / 26 / 2000","Submission (Kimura)N/A","1","1:11",2000-02-26
"1278",181,"Brad Kohler","loss","Renato Sobral","WEF 8 - Goin' PlatinumJan / 15 / 2000","KO (Soccer Kick)Kip Koller","2","0:50",2000-01-15
"1368",181,"Brad Kohler","loss","Mikhail Ilyukhin","Rings - King of Kings 1999 Block AOct / 28 / 1999","Submission (Armbar)N/A","1","2:16",1999-10-28
"1465",181,"Brad Kohler","win","Yoshihisa Yamamoto","Rings - King of Kings 1999 Block AOct / 28 / 1999","Submission (Smother)N/A","1","1:57",1999-10-28
"1559",181,"Brad Kohler","win","Steve Judson","UFC 22 - There Can Be Only One ChampionSep / 24 / 1999","KO (Punch)John McCarthy","1","0:30",1999-09-24
"1659",181,"Brad Kohler","win","Butch Williams","UW - Ultimate WrestlingAug / 13 / 1999","Submission (Armbar)N/A","1","4:15",1999-08-13
"1756",181,"Brad Kohler","loss","Dan Severn","UW - Ultimate WrestlingJun / 25 / 1999","TKON/A","1","7:57",1999-06-25
"1855",181,"Brad Kohler","win","Andy Douglas","CC 3 - Cage Combat 3Jul / 15 / 1998","Submission (Rear-Naked Choke)N/A","1","1:30",1998-07-15
"1955",181,"Brad Kohler","loss","Paul Pumphery","EC 17 - Extreme Challenge 17Apr / 11 / 1998","TKO (Injury)N/A","1","0:06",1998-04-11
"2047",181,"Brad Kohler","loss","Joe Pardo","EC 15 - Extreme Challenge 15Feb / 27 / 1998","Submission (Heel Hook)N/A","1","1:43",1998-02-27
"21117",181,"Brad Kohler","loss","Tra Telligman","UFC 15.5 - Ultimate Japan 1Dec / 21 / 1997","Submission (Armbar)John McCarthy","1","10:05",1997-12-21
"22104",181,"Brad Kohler","win","Joe Slick","IFC 6 - Battle at Four BearsSep / 20 / 1997","TKO (Corner Stoppage)N/A","1","4:12",1997-09-20
"2352",181,"Brad Kohler","win","Joel Sutton","IFC 6 - Battle at Four BearsSep / 20 / 1997","TKO (Corner Stoppage)N/A","1","1:24",1997-09-20
"2445",181,"Brad Kohler","win","Sam Adkins","EC 9 - Extreme Challenge 9Aug / 30 / 1997","TKO (Cut)N/A","1","6:56",1997-08-30
"2539",181,"Brad Kohler","win","Scott Morton","EC 8 - Extreme Challenge 8Aug / 09 / 1997","Submission (Neck Crank)N/A","1","3:42",1997-08-09
"2635",181,"Brad Kohler","win","Caz Daniels","HOOKnSHOOT - Absolute Fighting Championship 2Jul / 19 / 1997","TKO (Submission to Punches)N/A","1","17:35",1997-07-19
"2734",181,"Brad Kohler","win","Frank Amalfitano","HOOKnSHOOT - Absolute Fighting Championship 2Jul / 19 / 1997","TKO (Hand Injury)N/A","1","4:52",1997-07-19
"2830",181,"Brad Kohler","win","Travis Fulton","HOOKnSHOOT - Absolute Fighting Championship 2Jul / 19 / 1997","TKO (Submission to Punches)N/A","1","52:24",1997-07-19
"2353",182,"Yoji Anjo","loss","Ryan Gracie","Pride - Shockwave 2004Dec / 31 / 2004","Submission (Armbar)N/A","1","8:33",2004-12-31
"3239",182,"Yoji Anjo","draw","Gia Chiragishvili","Deep - 1st ImpactJan / 08 / 2001","DrawN/A","3","5:00",2001-01-08
"4178",182,"Yoji Anjo","loss","Matt Lindland","UFC 29 - Defense of the BeltsDec / 16 / 2000","TKO (Punches)John McCarthy","1","2:58",2000-12-16
"5139",182,"Yoji Anjo","loss","Murilo Bustamante","UFC 25 - Ultimate Japan 3Apr / 14 / 2000","Submission (Arm-Triangle Choke)John McCarthy","2","0:31",2000-04-14
"6121",182,"Yoji Anjo","loss","David Abbott","UFC 15.5 - Ultimate Japan 1Dec / 21 / 1997","DecisionJohn McCarthy","1","15:00",1997-12-21
"7108",182,"Yoji Anjo","loss","Sean Alvarez","U - JapanNov / 17 / 1996","TKO (Submission to Punches)N/A","1","34:26",1996-11-17
"2354",183,"Marcus Silveira","win","Johnathan Ivey","PFL - GenesisMar / 31 / 2007","TKON/A","2","0:00",2007-03-31
"3240",183,"Marcus Silveira","loss","Wes Sims","HOOKnSHOOT - Absolute Fighting Championships 1Dec / 13 / 2002","TKO (Punches)N/A","2","2:13",2002-12-13
"4179",183,"Marcus Silveira","loss","Dan Severn","WEF 9 - World ClassMay / 13 / 2000","Submission (Arm-Triangle Choke)N/A","1","4:46",2000-05-13
"5140",183,"Marcus Silveira","win","Maurice Smith","WEF 7 - Stomp in the SwampOct / 09 / 1999","Submission (Arm-Triangle Choke)Kip Koller","2","2:48",1999-10-09
"6122",183,"Marcus Silveira","win","Patrick Smith","WEF 5 - World Extreme Fighting 5Jun / 12 / 1999","N/AN/A","0","0:00",1999-06-12
"7109",183,"Marcus Silveira","loss","Kazushi Sakuraba","UFC 15.5 - Ultimate Japan 1Dec / 21 / 1997","Submission (Armbar)John McCarthy","1","3:44",1997-12-21
"8101",183,"Marcus Silveira","NC","Kazushi Sakuraba","UFC 15.5 - Ultimate Japan 1Dec / 21 / 1997","No Contest (Premature Stoppage)N/A","1","0:00",1997-12-21
"993",183,"Marcus Silveira","loss","Maurice Smith","EF 3 - Extreme Fighting 3Oct / 18 / 1996","TKO (Head Kick)N/A","3","1:36",1996-10-18
"1087",183,"Marcus Silveira","win","Carl Franks","EF 2 - Extreme Fighting 2Apr / 26 / 1996","TKO (Punches)John Donehue","1","1:17",1996-04-26
"1184",183,"Marcus Silveira","win","Gary Myers","EF 1 - Extreme Fighting 1Nov / 18 / 1995","Submission (Guillotine Choke)Gokor Chivichyan","1","4:25",1995-11-18
"1279",183,"Marcus Silveira","win","Victor Tatarkin","EF 1 - Extreme Fighting 1Nov / 18 / 1995","TKO (Submission to Punches)Gokor Chivichyan","1","2:28",1995-11-18
"2355",184,"LaVerne Clark","loss","Mark Stoddard","Caged Aggression 12 - Night TwoMar / 15 / 2014","Submission (Verbal)Rob Hinds","1","1:43",2014-03-15
"3241",184,"LaVerne Clark","loss","Evan Vasquez Matus","CBB - Coco Beach BrawlApr / 28 / 2012","Submission (Triangle Choke)Milton Rosales","1","4:59",2012-04-28
"4180",184,"LaVerne Clark","loss","Brian Foster","CCCW - Capital City Cage Wars 7Oct / 15 / 2011","Submission (Armbar)N/A","1","2:31",2011-10-15
"5141",184,"LaVerne Clark","win","Sean Salmon","FT - Fight TourAug / 20 / 2011","TKO (Punches)N/A","1","3:22",2011-08-20
"6123",184,"LaVerne Clark","loss","Sean Huffman","Blueblood MMA - Trials of a Gladiator 9Feb / 04 / 2011","DisqualificationN/A","0","0:00",2011-02-04
"7112",184,"LaVerne Clark","win","Evan Marks","Blueblood MMA - Trials of a Gladiator 6Apr / 30 / 2010","Submission (Rear-Naked Choke)N/A","1","3:38",2010-04-30
"8102",184,"LaVerne Clark","loss","Ryan Ford","MFC 18 - FamousSep / 26 / 2008","Submission (Guillotine Choke)N/A","2","2:30",2008-09-26
"994",184,"LaVerne Clark","win","Matt Kelly","CFC 12 - Courage Fighting Championships 12Jun / 27 / 2008","TKON/A","1","1:57",2008-06-27
"1088",184,"LaVerne Clark","win","Aaron Smith","CFC 11 - Courage Fighting Championships 11May / 02 / 2008","TKO (Submission to Punches)N/A","1","3:32",2008-05-02
"1185",184,"LaVerne Clark","win","Zeke Shiling","CFC 9 - Courage Fighting Championships 9Jun / 20 / 2007","Submission (Rear-Naked Choke)N/A","1","0:26",2007-06-20
"1280",184,"LaVerne Clark","loss","Aaron Wetherspoon","KOTC - SinisterApr / 27 / 2007","Submission (Armbar)N/A","1","3:10",2007-04-27
"1369",184,"LaVerne Clark","loss","Chris Wilson","SF 17 - Hot ZoneAug / 05 / 2006","Submission (Triangle Choke)N/A","1","3:51",2006-08-05
"1466",184,"LaVerne Clark","win","Victor Moreno","KOTC - Redemption on the RiverFeb / 17 / 2006","Decision (Unanimous)Herb Dean","3","5:00",2006-02-17
"1560",184,"LaVerne Clark","win","Jamie Woods","CFC 4 - Courage Fighting Championships 4Jan / 07 / 2006","KON/A","1","0:00",2006-01-07
"1660",184,"LaVerne Clark","loss","Jake Ellenberger","KOTC 64 - Raging BullDec / 16 / 2005","Submission (Triangle Choke)N/A","2","3:06",2005-12-16
"1757",184,"LaVerne Clark","win","Cruz Chacon","EC 65 - Extreme Challenge 65Oct / 21 / 2005","TKO (Punches)N/A","1","3:35",2005-10-21
"1856",184,"LaVerne Clark","win","Jake Jetter","XFO 7 - Outdoor WarAug / 27 / 2005","Submission (Armbar)N/A","1","1:53",2005-08-27
"1956",184,"LaVerne Clark","draw","Melvin Guillard","RCF - Duel in the DeltaSep / 25 / 2004","DrawN/A","3","5:00",2004-09-25
"2048",184,"LaVerne Clark","win","John Moore","ICE 11 - ICE XISep / 04 / 2004","Submission (Arm-Triangle Choke)N/A","1","2:04",2004-09-04
"21118",184,"LaVerne Clark","win","Kevin Knabjian","CFC 1 - Courage Fighting Championships 1Jul / 24 / 2004","KO (Punch)N/A","2","0:10",2004-07-24
"22105",184,"LaVerne Clark","loss","Buck Greer","PXC 2 - ChaosMay / 22 / 2004","Submission (Triangle Choke)N/A","2","1:03",2004-05-22
"2356",184,"LaVerne Clark","loss","Jorge Santiago","HFC 2 - Hardcore Fighting Championships 2Oct / 18 / 2003","Submission (Triangle Choke)N/A","1","2:17",2003-10-18
"2446",184,"LaVerne Clark","win","Rafal Piszczek","EC 54 - Extreme Challenge 54Oct / 12 / 2003","Decision (Unanimous)N/A","3","5:00",2003-10-12
"2540",184,"LaVerne Clark","win","Mac Danzig","EC 54 - Extreme Challenge 54Oct / 12 / 2003","Decision (Unanimous)N/A","3","3:00",2003-10-12
"2636",184,"LaVerne Clark","loss","Chris Lytle","Battleground 1 - War CryJul / 19 / 2003","Decision (Unanimous)N/A","3","5:00",2003-07-19
"2735",184,"LaVerne Clark","win","Miguel Menendez","HFC 1 - Hardcore Fighting Championships 1May / 24 / 2003","TKO (Cut)N/A","2","0:45",2003-05-24
"2832",184,"LaVerne Clark","win","Donald Ouimet","UCC Hawaii - Eruption in HawaiiSep / 17 / 2002","Decision (Unanimous)N/A","3","5:00",2002-09-17
"2929",184,"LaVerne Clark","loss","Ryuki Ueyama","Deep - 3rd ImpactDec / 23 / 2001","TKO (Corner Stoppage)N/A","1","5:00",2001-12-23
"3027",184,"LaVerne Clark","loss","Frank Trigg","WFA 1 - World Fighting Alliance 1Nov / 03 / 2001","TKO (Submission to Punches and Elbows)Steve Mazzagatti","3","2:15",2001-11-03
"31104",184,"LaVerne Clark","loss","Daiju Takase","Pancrase - 2001 Neo-Blood Tournament Opening RoundJul / 29 / 2001","Submission (Triangle Choke)N/A","2","0:16",2001-07-29
"3242",184,"LaVerne Clark","win","Earnest Knight","Gladiators 16 - Gladiators 16Jun / 30 / 2001","TKO (Submission to Punches)N/A","1","N/A",2001-06-30
"3325",184,"LaVerne Clark","loss","Jutaro Nakao","HOOKnSHOOT - MastersMay / 26 / 2001","Technical Submission (Triangle Choke)N/A","3","3:50",2001-05-26
"3423",184,"LaVerne Clark","loss","Chatt Lavender","Rings USA - Battle of ChampionsMar / 17 / 2001","Submission (Armbar)N/A","2","1:04",2001-03-17
"3522",184,"LaVerne Clark","loss","Fabiano Iha","UFC 27 - Ultimate Bad BoyzSep / 22 / 2000","Submission (Armbar)John McCarthy","1","1:10",2000-09-22
"3621",184,"LaVerne Clark","win","Cedric Marks","EC 35 - Extreme Challenge 35Jun / 29 / 2000","Submission (Choke)N/A","2","3:24",2000-06-29
"3720",184,"LaVerne Clark","win","Koji Oishi","UFC 25 - Ultimate Japan 3Apr / 14 / 2000","Decision (Majority)John McCarthy","3","5:00",2000-04-14
